datetime,num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h,weather_main,hour_of_day,day_of_week
2018-07-01 19:00:00,12.0,13.0,0.0,0.0,8.5,1077.0,1505.0,26.41,87,0.0,0.0,Haze,19,6
2018-07-02 05:00:00,8.0,8.0,0.0,0.0,8.0,1050.0,2.0,31.29,60,0.0,0.0,Haze,5,0
2018-07-03 05:00:00,7.0,7.0,0.0,0.0,8.0,1176.0,55.0,30.09,66,0.0,0.0,Haze,5,1
2018-07-02 18:00:00,15.0,15.0,0.0,0.0,7.0,1781.0,1928.0,27.23,84,0.0,0.0,Haze,18,0
2018-07-04 05:00:00,9.0,9.0,0.0,0.0,8.0,1076.0,3.0,31.24,60,0.0,0.0,Haze,5,2
2018-07-03 20:00:00,14.0,14.0,0.0,0.0,7.5,901.0,1076.0,26.11,87,0.0,0.0,Haze,20,1
2018-07-05 06:00:00,14.0,14.0,0.0,0.0,7.5,1335.0,485.0,31.0,59,0.0,0.0,Haze,6,3
2018-07-05 05:00:00,8.0,8.0,0.0,0.0,8.0,976.0,2.0,30.99,59,0.0,0.0,Haze,5,3
2018-07-06 07:00:00,15.0,15.0,0.0,0.0,7.0,1073.0,780.0,29.65,62,0.0,0.0,Haze,7,4
2018-07-06 05:00:00,8.0,8.0,0.0,0.0,8.0,530.0,2.0,30.69,62,0.0,0.0,Haze,5,4
2018-07-06 21:00:00,15.0,16.0,0.0,0.0,7.0,140.0,633.0,26.69,89,0.0,0.0,Haze,21,4
2018-07-07 06:00:00,12.0,13.0,0.0,0.0,8.5,361.0,188.0,29.14,67,0.0,0.0,Clouds,6,5
2018-07-07 17:00:00,12.0,14.0,0.0,0.0,8.5,653.0,666.0,26.53,91,0.63,0.0,Rain,17,5
2018-07-08 17:00:00,12.0,14.0,0.0,0.0,8.5,1517.0,1290.0,26.18,94,0.0,0.0,Haze,17,6
2018-07-09 05:00:00,8.0,8.0,0.0,0.0,8.0,1046.0,1.0,29.15,66,0.0,0.0,Haze,5,0
2018-07-09 20:00:00,15.0,16.0,0.0,0.0,7.0,781.0,1496.0,25.17,87,0.0,13.0,Rain,20,0
2018-07-10 13:00:00,15.0,16.0,0.0,0.0,7.0,1131.0,848.0,27.42,81,0.0,0.0,Haze,13,1
2018-07-11 05:00:00,7.0,7.0,0.0,0.0,8.0,1117.0,2.0,28.77,76,1.35,0.0,Rain,5,2
2018-07-11 20:00:00,15.0,15.0,0.0,0.0,7.0,770.0,1493.0,25.97,93,0.0,0.0,Haze,20,2
2018-07-12 05:00:00,9.0,9.0,0.0,0.0,8.0,1041.0,2.0,27.9,75,0.0,0.0,Clouds,5,3
2018-07-12 11:00:00,15.0,16.0,0.0,0.0,7.0,1358.0,782.0,26.77,77,0.0,0.0,Haze,11,3
2018-07-13 05:00:00,8.0,8.0,0.0,0.0,8.0,535.0,0.0,28.43,78,0.58,0.0,Rain,5,4
2018-07-13 19:00:00,15.0,16.0,0.0,0.0,7.0,724.0,1131.0,25.79,89,0.0,0.0,Haze,19,4
2018-07-14 16:00:00,12.0,15.0,0.0,0.0,8.5,655.0,659.0,26.68,89,0.0,3.0,Rain,16,5
2018-07-16 06:00:00,15.0,15.0,0.0,0.0,7.0,1687.0,649.0,28.45,84,1.61,0.0,Rain,6,0
2018-07-16 05:00:00,9.0,9.0,0.0,0.0,8.0,873.0,3.0,28.39,84,1.22,0.0,Rain,5,0
2018-07-16 20:00:00,15.0,16.0,0.0,0.0,7.0,776.0,1660.0,25.42,92,0.0,17.5,Rain,20,0
2018-07-17 05:00:00,8.0,8.0,0.0,0.0,8.0,992.0,6.0,26.09,95,0.0,0.0,Clouds,5,1
2018-07-17 18:00:00,15.0,16.0,0.0,0.0,8.0,1479.0,1583.0,25.21,95,0.89,0.0,Rain,18,1
2018-07-18 05:00:00,8.0,8.0,0.0,0.0,8.0,690.0,3.0,29.26,78,0.0,0.0,Haze,5,2
2018-07-18 08:00:00,15.0,15.0,0.0,0.0,7.0,1718.0,1032.0,28.53,80,0.0,0.8,Rain,8,2
2018-07-19 05:00:00,9.0,9.0,0.0,0.0,8.0,994.0,3.0,29.32,79,0.0,0.0,Haze,5,3
2018-07-20 06:00:00,15.0,15.0,0.0,0.0,7.0,956.0,404.0,28.74,86,0.0,0.0,Haze,6,4
2018-07-20 05:00:00,8.0,8.0,0.0,0.0,8.0,510.0,1.0,29.0,86,0.0,0.0,Haze,5,4
2018-07-20 08:00:00,15.0,15.0,0.0,0.0,7.0,1176.0,747.0,26.55,93,0.0,23.5,Rain,8,4
2018-07-21 17:00:00,12.0,13.0,0.0,0.0,8.5,687.0,624.0,26.66,90,0.88,0.0,Thunderstorm,17,5
